reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.8061507,42.94715366,0,0,122,208.8215013,2020/10/14 04:35:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80618325,42.94714713,0,0,123,209.1495256,2020/10/14 04:35:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80622293,42.94714759,0,0,124,209.1458102,2020/10/14 04:35:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80620131,42.94716494,0,0,125,209.0479901,2020/10/14 04:35:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80619909,42.9471297,0,0,126,209.4733619,2020/10/14 04:35:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80622763,42.94711869,0,0,127,208.670335,2020/10/14 04:35:35+00,,,,,,,,,,,,,,,,,,,,,
-78.80618781,42.94711573,0,0,128,209.0900687,2020/10/14 04:35:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80616463,42.94710973,0,0,129,209.3332187,2020/10/14 04:35:39+00,,,,,,,,,,,,,,,,,,,,,
-78.80614995,42.94708806,0,0,130,209.4107366,2020/10/14 04:35:43+00,,,,,,,,,,,,,,,,,,,,,
-78.8061776,42.94711545,0,0,131,209.1770483,2020/10/14 04:35:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80617216,42.94713463,0,0,132,209.3056558,2020/10/14 04:35:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80619044,42.94714672,0,0,133,209.3331294,2020/10/14 04:35:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80617565,42.94716323,0,0,134,209.1488518,2020/10/14 04:35:52+00,,,,,,,,,,,,,,,,,,,,,
-78.80619884,42.94719181,0,0,135,209.3395309,2020/10/14 04:35:54+00,,,,,,,,,,,,,,,,,,,,,
-78.80623247,42.94718437,0,0,136,209.3035492,2020/10/14 04:36:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80620229,42.94718168,0,0,137,209.2186673,2020/10/14 04:36:04+00,,,,,,,,,,,,,,,,,,,,,
-78.80618006,42.9471621,0,0,138,209.4185948,2020/10/14 04:36:07+00,,,,,,,,,,,,,,,,,,,,,
-78.80618652,42.94719245,0,0,139,209.305443,2020/10/14 04:36:10+00,,,,,,,,,,,,,,,,,,,,,
-78.8062111,42.94717211,0,0,140,209.2463245,2020/10/14 04:36:14+00,,,,,,,,,,,,,,,,,,,,,
-78.80623015,42.94718845,0,0,141,209.2762718,2020/10/14 04:36:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80622928,42.94716868,0,0,142,209.2406774,2020/10/14 04:36:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80621304,42.94714608,0,0,143,209.2490804,2020/10/14 04:36:21+00,,,,,,,,,,,,,,,,,,,,,
-78.80620038,42.9471239,0,0,144,209.3330776,2020/10/14 04:36:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80619201,42.94710505,0,0,145,209.3588466,2020/10/14 04:36:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80616538,42.94712975,0,0,146,209.4262787,2020/10/14 04:36:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80618781,42.94711824,0,0,147,209.1815069,2020/10/14 04:36:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80619946,42.94709551,0,0,148,209.1739486,2020/10/14 04:36:39+00,,,,,,,,,,,,,,,,,,,,,
-78.80619621,42.94706862,0,0,149,209.2353463,2020/10/14 04:36:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80617495,42.94705054,0,0,150,209.2159641,2020/10/14 04:36:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80616807,42.94708931,0,0,151,209.1694276,2020/10/14 04:36:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80618743,42.94711146,0,0,152,209.2269725,2020/10/14 04:37:04+00,,,,,,,,,,,,,,,,,,,,,
-78.80619726,42.9470944,0,0,153,209.0995897,2020/10/14 04:37:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80618103,42.94710808,0,0,154,209.2001316,2020/10/14 04:37:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80619588,42.94712288,0,0,155,209.1543725,2020/10/14 04:37:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80621301,42.94714222,0,0,156,209.1158355,2020/10/14 04:37:29+00,,,,,,,,,,,,,,,,,,,,,
-78.80619576,42.94712636,0,0,157,209.1956402,2020/10/14 04:37:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80617041,42.94712351,0,0,158,209.2119152,2020/10/14 04:38:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80614653,42.94711572,0,0,159,209.2064588,2020/10/14 04:38:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80615773,42.94713561,0,0,160,209.1140425,2020/10/14 04:38:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80615225,42.94715472,0,0,161,209.2340005,2020/10/14 04:38:24+00,,,,,,,,,,,,,,,,,,,,,
-78.80614688,42.94712922,0,0,162,208.9649422,2020/10/14 04:38:29+00,,,,,,,,,,,,,,,,,,,,,
-78.80612432,42.94713767,0,0,163,208.9623979,2020/10/14 04:38:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80614486,42.94714885,0,0,164,209.2085447,2020/10/14 04:38:35+00,,,,,,,,,,,,,,,,,,,,,
-78.80615538,42.94717924,0,0,165,209.6507731,2020/10/14 04:38:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80617803,42.94720665,0,0,166,209.2205615,2020/10/14 04:38:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80621324,42.94719647,0,0,167,209.3073848,2020/10/14 04:38:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80623428,42.94718619,0,0,168,208.9913641,2020/10/14 04:38:53+00,,,,,,,,,,,,,,,,,,,,,
-78.80622875,42.94716796,0,0,169,210.420924,2020/10/14 04:38:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80617208,42.9470939,0,0,170,209.2794838,2020/10/14 04:45:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80616334,42.94711734,0,0,171,206.0664769,2020/10/14 04:45:18+00,,,,,,,,,,,,,,,,,,,,,
-78.80618632,42.94712626,0,0,172,209.0228572,2020/10/14 04:45:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80616646,42.94711095,0,0,173,209.3720899,2020/10/14 04:45:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80615107,42.94709671,0,0,174,208.9721519,2020/10/14 04:45:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80615623,42.94712112,0,0,175,209.12701,2020/10/14 04:45:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80618023,42.94711359,0,0,176,209.5166639,2020/10/14 05:34:59+00,,,,,,,,,,,,,,,,,,,,,
